system	size	atoms	mode	pair	ranks	steps	trials	loop_median_s	loop_q1_s	loop_q3_s	steps_per_s	atom_steps_per_s	pair_median_s	neigh_median_s	comm_median_s	modify_median_s	kspace_median_s	other_median_s	max_dangerous_builds
tio2	small	1152	dynamic	accelnet	1	500	3	48.0693	48.0373	48.2938	10.4016493	11982.7	48.008	0.043522	0.0095743	0.0060314	0	0.001939	0
tio2	small	1152	dynamic	aenet	1	500	3	565.211	564.947	565.261	0.884625388	1019.08845	565.15	0.043325	0.010423	0.0071152	0	0.002356	0
tio2	small	1152	dynamic	accelnet	2	500	3	24.3952	24.36515	24.5298	20.4958352	23611.2022	24.183	0.022028	0.18465	0.004072	0	0.001863	0
tio2	small	1152	dynamic	aenet	2	500	3	286.299	285.6735	288.8605	1.74642594	2011.88268	283.73	0.022018	2.5391	0.0055241	0	0.002082	0
tio2	small	1152	fixed	accelnet	1	500	3	46.6075	46.5806	46.63715	10.7278871	12358.526	46.596	0	0.0088998	5.506e-05	0	0.001925	0
tio2	small	1152	fixed	aenet	1	500	3	494.508	493.8395	496.8785	1.01110599	1164.7941	494.5	0	0.0099732	0.00011914	0	0.002379	0
tio2	small	1152	fixed	accelnet	2	500	3	23.4939	23.49	23.5053	21.28212	24517.0023	23.458	0	0.044738	5.1558e-05	0	0.001798	0
tio2	small	1152	fixed	aenet	2	500	3	248.305	248.2735	249.0485	2.01365256	2319.72775	247.81	0	0.76449	8.2634e-05	0	0.002427	0
water	small	1152	dynamic	accelnet	1	500	3	22.9248	22.90925	23.1357	21.8104411	25125.6281	22.845	0.064387	0.0080517	0.0060448	0	0.001669	0
water	small	1152	dynamic	aenet	1	500	3	146.767	146.6665	147.145	3.40676038	3924.58795	146.69	0.064841	0.00847	0.0068284	0	0.001906	0
water	small	1152	dynamic	accelnet	2	500	3	11.8926	11.885	11.93245	42.0429511	48433.4796	11.411	0.032074	0.45885	0.0039897	0	0.001522	0
water	small	1152	dynamic	aenet	2	500	3	76.936	76.6727	77.01465	6.49890818	7486.74223	74.493	0.032334	2.4036	0.0056188	0	0.001733	0
water	small	1152	fixed	accelnet	1	500	3	22.752	22.73925	22.81775	21.97609	25316.4557	22.743	0	0.0076378	5.2072e-05	0	0.001712	0
water	small	1152	fixed	aenet	1	500	3	146.435	146.23	146.9715	3.41448424	3933.48585	146.42	0	0.0078614	0.0001116	0	0.002119	0
water	small	1152	fixed	accelnet	2	500	3	11.6127	11.61135	11.6162	43.056309	49600.868	11.384	0	0.22487	4.8226e-05	0	0.00155	0
water	small	1152	fixed	aenet	2	500	3	75.9191	75.8248	76.03375	6.58595795	7587.02356	74.397	0	1.5194	9.7046e-05	0	0.002453	0
