system	size	atoms	mode	implementation	ranks	steps	trials	loop_median_s	loop_q1_s	loop_q3_s	steps_per_s	atom_steps_per_s	pair_median_s	neigh_median_s	comm_median_s	modify_median_s	kspace_median_s	other_median_s	max_dangerous_builds	speedup_vs_aenet	speedup_moment_vs_direct
tio2	small	1152	dynamic	accelnet-direct	1	500	5	48.2682	48.1737	48.5511	10.3587869	11933.3226	48.207	0.043556	0.0094999	0.0061218	0	0.001945	0	11.7358426	1.00259226
tio2	small	1152	dynamic	accelnet-moment	1	500	5	48.1434	48.1107	48.1638	10.3856396	11964.2568	48.082	0.043527	0.0095161	0.0060789	0	0.001907	0	11.766265	1.00259226
tio2	small	1152	dynamic	aenet	1	500	5	566.468	565.941	566.891	0.882662392	1016.82708	566.4	0.044394	0.010403	0.0071484	0	0.002397	0	1	1.00259226
tio2	small	1152	dynamic	accelnet-direct	2	500	5	24.3572	24.3507	24.3662	20.5278111	23648.0384	24.197	0.022018	0.13876	0.0041036	0	0.0019	0	11.8403593	0.999331241
tio2	small	1152	dynamic	accelnet-moment	2	500	5	24.3735	24.3517	24.3772	20.5140829	23632.2235	24.168	0.022013	0.17548	0.0040845	0	0.001855	0	11.832441	0.999331241
tio2	small	1152	dynamic	aenet	2	500	5	288.398	288.357	288.508	1.73371521	1997.23993	284.3	0.022076	3.7041	0.0054882	0	0.002125	0	1	0.999331241
water	small	1152	dynamic	accelnet-direct	1	500	5	22.8782	22.8509	22.9435	21.8548662	25176.8059	22.798	0.064523	0.0080271	0.0060549	0	0.001646	0	6.40535532	0.999301133
water	small	1152	dynamic	accelnet-moment	1	500	5	22.8942	22.8865	22.9388	21.8395926	25159.2106	22.814	0.064593	0.0079823	0.0060559	0	0.001647	0	6.40087883	0.999301133
water	small	1152	dynamic	aenet	1	500	5	146.543	146.314	147.247	3.41196782	3930.58693	146.46	0.064809	0.0086038	0.0069301	0	0.001885	0	1	0.999301133
water	small	1152	dynamic	accelnet-direct	2	500	5	11.8937	11.8862	11.8958	42.0390627	48429.0002	11.398	0.032077	0.4607	0.0039511	0	0.001546	0	6.4741754	0.9983464
water	small	1152	dynamic	accelnet-moment	2	500	5	11.9134	11.8905	11.9443	41.9695469	48348.918	11.424	0.032071	0.4613	0.0039944	0	0.001451	0	6.46346971	0.9983464
water	small	1152	dynamic	aenet	2	500	5	77.0019	76.8889	77.0051	6.49334627	7480.3349	74.305	0.0322	2.5656	0.0055781	0	0.001763	0	1	0.9983464
